Implementation,PSteps,TSteps,MeanTime,StdTime,RunCount
gpu,80,40000,266.542504,13.62143947305962,10
hybrid2,160,70000,1002.2492570000001,17.318374875185214,10
base,80,60000,1768.875417,9.17743256512416,10
hybrid1,160,10000,287.820365,19.983779104553903,10
cpu_acc,60,20000,33.424999,0.4908106113688076,10
cpu_acc,160,50000,207.97828599999997,0.19226984198718522,10
hybrid2,20,100000,367.330538,6.838939067822997,10
base,160,30000,1782.51561,3.963751821328964,10
hybrid1,80,70000,507.47847,28.962767296564667,10
hybrid2,60,10000,269.74681100000004,18.668265074228366,10
hybrid2,120,90000,973.350417,18.604934723601367,10
gpu,120,40000,299.97647900000004,21.409932636016524,10
base,60,100000,2194.365737,20.09850550739978,10
hybrid2,40,50000,352.82044,7.956688147449017,10
base,140,70000,3629.2222439999996,25.440511155886423,10
base,20,40000,167.36411800000002,12.774299540875722,10
gpu,20,60000,314.281329,16.36112730228332,10
hybrid2,140,30000,519.3323419999999,18.654331315736354,10
cpu_acc,180,90000,418.174625,0.3558988887076429,10
base,100,90000,3340.1264109999997,20.32550006267787,10
gpu,180,60000,388.487278,26.98213966298645,10
cpu_acc,140,10000,37.676605,0.09930729113324178,10
hybrid1,20,50000,316.929434,7.087846145809812,10
gpu,60,80000,305.220997,10.32600629722627,10
cpu_acc,40,60000,67.45088200000001,0.12433267486867605,10
gpu,200,40000,284.681652,22.689660399657228,10
hybrid2,200,90000,1524.422285,45.65639560269694,10
hybrid1,140,50000,427.624367,10.417182371286657,10
hybrid2,60,80000,553.573337,16.598190896818338,10
hybrid1,120,60000,446.526891,14.965985146838396,10
gpu,120,100000,330.76705499999997,13.425725111575284,10
cpu_acc,20,50000,29.275489,0.19634365368743978,10
cpu_acc,120,20000,63.413161,0.07699578941590234,10
hybrid1,40,60000,347.71449,13.689325956819218,10
base,40,70000,961.087628,13.153137722776583,10
hybrid2,20,60000,326.13791499999996,20.138848052001524,10
gpu,60,100000,319.559201,10.983970482911747,10
base,120,40000,1765.78159,12.94397826407408,10
gpu,160,30000,264.316066,9.290590064154163,10
hybrid1,160,80000,594.496693,13.089203833833672,10
gpu,40,50000,276.16349,10.711726219434052,10
gpu,140,70000,303.634372,17.852453661864462,10
hybrid1,200,60000,564.453853,9.717923258434563,10
cpu_acc,80,100000,209.083599,0.2914153399245341,10
cpu_acc,200,20000,104.737858,0.12125060666973084,10
cpu_acc,80,70000,148.340123,0.3102019452281582,10
hybrid1,180,40000,471.55416299999996,11.025286901662872,10
base,60,30000,573.9936110000001,43.88352686101508,10
hybrid2,180,20000,465.73705200000006,9.605677379088307,10
cpu_acc,140,80000,287.340422,0.5197930691000471,10
gpu,60,10000,237.313105,10.668224163473353,10
hybrid2,100,40000,513.3318929999999,20.72984340759961,10
gpu,100,90000,333.923292,26.957554501587122,10
hybrid2,80,40000,441.78673399999997,9.051139133802382,10
hybrid1,60,20000,280.572383,17.74630396174686,10
cpu_acc,100,60000,157.945698,0.08653085137683558,10
base,180,60000,3977.681379,17.52173629012739,10
base,200,40000,2955.916701,28.583027237842153,10
hybrid1,100,20000,315.87259,20.22948192428291,10
cpu_acc,20,40000,23.903409,0.11697775785260273,10
hybrid1,120,70000,483.403195,10.56037817511944,10
hybrid1,40,70000,379.23573999999996,16.690708349013963,10
cpu_acc,120,30000,94.62375499999999,0.10930027815863688,10
hybrid2,120,10000,320.72357,12.38790708614745,10
hybrid2,60,90000,598.0826119999999,14.728744144012941,10
gpu,40,40000,258.176893,9.051086856129553,10
hybrid1,160,90000,664.721951,24.35841744266352,10
hybrid2,180,100000,1476.119463,34.36064401301226,10
base,40,60000,783.807368,8.7169964753333,10
gpu,160,20000,256.48681,15.03926497665361,10
base,120,50000,2216.9086190000003,18.551791803207113,10
hybrid2,20,70000,326.165564,9.945592245850193,10
cpu_acc,140,90000,325.274298,0.405677269891548,10
hybrid2,180,30000,582.2362,6.482901864162035,10
hybrid2,200,10000,376.41316700000004,17.534114002135667,10
cpu_acc,180,10000,47.534031999999996,0.061828112591820084,10
base,100,10000,152.043803,0.2898879258169388,10
hybrid1,200,70000,648.067093,28.554295763520823,10
gpu,140,60000,299.702807,10.274276003064974,10
base,60,20000,333.873567,4.625922050272907,10
hybrid1,180,50000,490.659396,17.925147369611587,10
cpu_acc,80,60000,127.47740200000001,0.1471971829289607,10
cpu_acc,200,30000,154.821458,0.06576864007851498,10
cpu_acc,100,70000,183.337077,0.20541158081871994,10
base,180,70000,4648.30715,46.20760351561969,10
hybrid1,60,30000,305.707541,13.35231585912217,10
hybrid2,80,50000,503.457813,14.772496641773966,10
hybrid1,100,30000,339.091294,15.382017914811504,10
base,200,50000,3718.16987,36.09257201741626,10
hybrid2,40,100000,507.01475,10.711711063478331,10
gpu,100,80000,330.52671,16.143986705584496,10
hybrid2,100,50000,579.6763520000001,14.074920683532408,10
cpu_acc,60,30000,48.946892000000005,0.2720093413755403,10
base,80,70000,2067.895316,7.444060930400563,10
cpu_acc,160,40000,167.306352,0.18308208764862183,10
gpu,80,50000,288.895936,17.954501828812372,10
hybrid2,160,60000,891.169905,25.684163781383635,10
gpu,120,50000,344.600936,29.683481216536812,10
hybrid2,120,80000,900.1784030000001,21.156356001544566,10
hybrid1,80,60000,437.126008,45.30758843320738,10
base,160,20000,1179.246945,6.229165007771893,10
gpu,20,70000,292.217528,17.53820700362106,10
base,140,60000,3131.3830590000002,9.765621874596,10
hybrid2,40,40000,336.17377799999997,13.538731784371492,10
gpu,100,10000,324.020667,29.83736833076792,10
gpu,140,100000,324.088667,10.197899535632109,10
base,20,50000,225.58971400000001,22.454029516445964,10
hybrid1,20,40000,294.48134,10.069618107073923,10
cpu_acc,180,100000,464.241799,0.3461444127801103,10
gpu,180,70000,335.417194,19.496364946013347,10
hybrid2,200,80000,1334.279325,17.79770856860218,10
hybrid1,140,40000,380.31991400000004,7.384141565081212,10
gpu,200,50000,299.655745,15.442942361354485,10
gpu,60,90000,334.531901,26.674065151469765,10
cpu_acc,40,70000,77.598123,0.2648464934447886,10
cpu_acc,180,80000,376.551028,11.950534471337164,10
base,100,80000,2940.866263,23.103453068346525,10
hybrid2,140,20000,416.84614899999997,17.218675460888672,10
hybrid1,160,100000,704.761848,21.583561268610474,10
cpu_acc,60,80000,129.10583300000002,0.26031779416065387,10
gpu,40,60000,288.250954,15.185759101850216,10
hybrid2,20,50000,309.624548,14.554752570481186,10
base,120,70000,3133.162426,5.126679216703733,10
base,40,40000,446.870424,6.8016491680036175,10
cpu_acc,120,10000,32.439510999999996,0.04559540850422055,10
hybrid1,40,50000,341.531299,15.276153851182892,10
hybrid1,120,50000,488.126739,29.130626666176695,10
cpu_acc,20,60000,35.195668999999995,0.1104951614274968,10
